symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICIBANK,INE090A01021,2025-08-05,NSE,EQ,EQ,buy,false,23,1452.9,1000018,2000000000000000018,2025-08-05T13:01:31
RELIANCE,INE002A01018,2025-08-05,NSE,EQ,EQ,sell,false,21,1421.04,1000015,2000000000000000015,2025-08-05T13:18:52
RELIANCE,INE002A01018,2025-08-05,NSE,EQ,EQ,buy,false,16,1397.2,1000020,2000000000000000020,2025-08-05T14:37:31
HDFC,INE040A01034,2025-08-06,NSE,EQ,EQ,sell,false,16,1022.76,1000017,2000000000000000017,2025-08-06T09:49:52
RELIANCE,INE002A01018,2025-08-06,NSE,EQ,EQ,sell,false,16,1423.29,1000021,2000000000000000021,2025-08-06T09:54:52
HDFC,INE040A01034,2025-08-06,NSE,EQ,EQ,buy,false,25,988.6,1000022,2000000000000000022,2025-08-06T13:20:47
HDFC,INE040A01034,2025-08-06,NSE,EQ,EQ,sell,false,25,922.03,1000023,2000000000000000023,2025-08-06T14:02:47
HDFC,INE040A01034,2025-08-07,NSE,EQ,EQ,buy,false,21,991.3,1000024,2000000000000000024,2025-08-07T09:46:01
ICICIBANK,INE090A01021,2025-08-07,NSE,EQ,EQ,buy,false,19,1435.3,1000026,2000000000000000026,2025-08-07T10:42:26
ICICIBANK,INE090A01021,2025-08-07,NSE,EQ,EQ,sell,false,19,1343.03,1000027,2000000000000000027,2025-08-07T12:55:26
RELIANCE,INE002A01018,2025-08-08,NSE,EQ,EQ,buy,false,7,1383.3,1000028,2000000000000000028,2025-08-08T10:13:46
HDFC,INE040A01034,2025-08-08,NSE,EQ,EQ,sell,false,21,1015.83,1000025,2000000000000000025,2025-08-08T10:13:52
RELIANCE,INE002A01018,2025-08-08,NSE,EQ,EQ,buy,false,21,1383.3,1000032,2000000000000000032,2025-08-08T12:12:57
ICICIBANK,INE090A01021,2025-08-08,NSE,EQ,EQ,buy,false,18,1437.6,1000030,2000000000000000030,2025-08-08T13:20:18
ICICIBANK,INE090A01021,2025-08-11,NSE,EQ,EQ,buy,false,25,1427.0,1000034,2000000000000000034,2025-08-11T09:30:15
RELIANCE,INE002A01018,2025-08-11,NSE,EQ,EQ,sell,false,21,1471.67,1000033,2000000000000000033,2025-08-11T10:47:52
ICICIBANK,INE090A01021,2025-08-11,NSE,EQ,EQ,buy,false,8,1427.0,1000038,2000000000000000038,2025-08-11T12:16:13
ICICIBANK,INE090A01021,2025-08-11,NSE,EQ,EQ,sell,false,8,1450.54,1000039,2000000000000000039,2025-08-11T13:16:13
ICICIBANK,INE090A01021,2025-08-11,NSE,EQ,EQ,sell,false,23,1340.11,1000019,2000000000000000019,2025-08-11T14:18:52
RELIANCE,INE002A01018,2025-08-11,NSE,EQ,EQ,buy,false,30,1368.7,1000036,2000000000000000036,2025-08-11T14:41:10
RELIANCE,INE002A01018,2025-08-11,NSE,EQ,EQ,sell,false,7,1469.35,1000029,2000000000000000029,2025-08-11T15:17:52
ICICIBANK,INE090A01021,2025-08-12,NSE,EQ,EQ,sell,false,18,1361.64,1000031,2000000000000000031,2025-08-12T10:28:52
HDFC,INE040A01034,2025-08-12,NSE,EQ,EQ,buy,false,18,995.7,1000040,2000000000000000040,2025-08-12T11:25:25
ICICIBANK,INE090A01021,2025-08-12,NSE,EQ,EQ,buy,false,13,1430.1,1000044,2000000000000000044,2025-08-12T11:48:43
HDFC,INE040A01034,2025-08-12,NSE,EQ,EQ,buy,false,26,995.7,1000042,2000000000000000042,2025-08-12T13:27:23
RELIANCE,INE002A01018,2025-08-13,NSE,EQ,EQ,buy,false,31,1385.3,1000047,2000000000000000047,2025-08-13T10:39:48
HDFC,INE040A01034,2025-08-13,NSE,EQ,EQ,sell,false,18,1016.39,1000041,2000000000000000041,2025-08-13T11:18:52
HDFC,INE040A01034,2025-08-13,NSE,EQ,EQ,sell,false,26,947.76,1000043,2000000000000000043,2025-08-13T11:38:52
HDFC,INE040A01034,2025-08-13,NSE,EQ,EQ,buy,false,28,986.65,1000045,2000000000000000045,2025-08-13T13:30:58
RELIANCE,INE002A01018,2025-08-13,NSE,EQ,EQ,sell,false,31,1289.67,1000048,2000000000000000048,2025-08-13T13:59:48
HDFC,INE040A01034,2025-08-13,NSE,EQ,EQ,sell,false,28,1052.6,1000046,2000000000000000046,2025-08-13T14:57:58
ICICIBANK,INE090A01021,2025-08-14,NSE,EQ,EQ,sell,false,25,1507.86,1000035,2000000000000000035,2025-08-14T12:42:52
RELIANCE,INE002A01018,2025-08-14,NSE,EQ,EQ,buy,false,12,1374.9,1000049,2000000000000000049,2025-08-14T13:06:02
RELIANCE,INE002A01018,2025-08-14,NSE,EQ,EQ,sell,false,12,1336.63,1000050,2000000000000000050,2025-08-14T14:26:02
RELIANCE,INE002A01018,2025-08-14,NSE,EQ,EQ,buy,false,21,1374.9,1000051,2000000000000000051,2025-08-14T14:41:28
RELIANCE,INE002A01018,2025-08-14,NSE,EQ,EQ,sell,false,30,1409.76,1000037,2000000000000000037,2025-08-14T15:21:52
HDFC,INE040A01034,2025-08-18,NSE,EQ,EQ,buy,false,19,1006.0,1000059,2000000000000000059,2025-08-18T10:29:08
ICICIBANK,INE090A01021,2025-08-18,NSE,EQ,EQ,buy,false,10,1447.0,1000055,2000000000000000055,2025-08-18T11:22:54
HDFC,INE040A01034,2025-08-18,NSE,EQ,EQ,sell,false,19,1029.94,1000060,2000000000000000060,2025-08-18T11:49:08
HDFC,INE040A01034,2025-08-18,NSE,EQ,EQ,buy,false,14,1006.0,1000053,2000000000000000053,2025-08-18T12:15:22
RELIANCE,INE002A01018,2025-08-18,NSE,EQ,EQ,buy,false,8,1387.5,1000057,2000000000000000057,2025-08-18T13:15:17
RELIANCE,INE002A01018,2025-08-18,NSE,EQ,EQ,sell,false,21,1427.37,1000052,2000000000000000052,2025-08-18T13:15:52
ICICIBANK,INE090A01021,2025-08-18,NSE,EQ,EQ,sell,false,10,1546.08,1000056,2000000000000000056,2025-08-18T14:36:54
RELIANCE,INE002A01018,2025-08-18,NSE,EQ,EQ,sell,false,8,1361.31,1000058,2000000000000000058,2025-08-18T15:48:17
HDFC,INE040A01034,2025-08-19,NSE,EQ,EQ,buy,false,12,999.05,1000063,2000000000000000063,2025-08-19T13:43:30
HDFC,INE040A01034,2025-08-19,NSE,EQ,EQ,buy,false,26,999.05,1000061,2000000000000000061,2025-08-19T14:11:42
HDFC,INE040A01034,2025-08-20,NSE,EQ,EQ,buy,false,13,993.2,1000067,2000000000000000067,2025-08-20T09:30:30
HDFC,INE040A01034,2025-08-20,NSE,EQ,EQ,sell,false,12,1026.64,1000064,2000000000000000064,2025-08-20T11:44:52
ICICIBANK,INE090A01021,2025-08-20,NSE,EQ,EQ,buy,false,13,1428.4,1000065,2000000000000000065,2025-08-20T13:07:14
RELIANCE,INE002A01018,2025-08-21,NSE,EQ,EQ,buy,false,20,1429.8,1000071,2000000000000000071,2025-08-21T09:33:05
HDFC,INE040A01034,2025-08-21,NSE,EQ,EQ,sell,false,13,983.01,1000068,2000000000000000068,2025-08-21T09:45:52
RELIANCE,INE002A01018,2025-08-21,NSE,EQ,EQ,buy,false,21,1429.8,1000075,2000000000000000075,2025-08-21T09:55:58
HDFC,INE040A01034,2025-08-21,NSE,EQ,EQ,buy,false,8,995.95,1000073,2000000000000000073,2025-08-21T10:25:29
HDFC,INE040A01034,2025-08-21,NSE,EQ,EQ,buy,false,52,995.95,1000069,2000000000000000069,2025-08-21T11:42:34
HDFC,INE040A01034,2025-08-21,NSE,EQ,EQ,sell,false,52,1017.89,1000070,2000000000000000070,2025-08-21T13:10:34
HDFC,INE040A01034,2025-08-22,NSE,EQ,EQ,buy,false,13,982.65,1000077,2000000000000000077,2025-08-22T10:07:27
HDFC,INE040A01034,2025-08-22,NSE,EQ,EQ,sell,false,14,923.42,1000054,2000000000000000054,2025-08-22T10:28:52
HDFC,INE040A01034,2025-08-22,NSE,EQ,EQ,buy,false,14,982.65,1000079,2000000000000000079,2025-08-22T11:53:45
HDFC,INE040A01034,2025-08-22,NSE,EQ,EQ,sell,false,26,1014.0,1000062,2000000000000000062,2025-08-22T12:41:52
HDFC,INE040A01034,2025-08-22,NSE,EQ,EQ,sell,false,14,926.79,1000080,2000000000000000080,2025-08-22T14:02:45
HDFC,INE040A01034,2025-08-25,NSE,EQ,EQ,buy,false,17,982.8,1000081,2000000000000000081,2025-08-25T09:30:43
ICICIBANK,INE090A01021,2025-08-25,NSE,EQ,EQ,sell,false,13,1524.55,1000066,2000000000000000066,2025-08-25T10:25:52
HDFC,INE040A01034,2025-08-25,NSE,EQ,EQ,sell,false,8,1031.22,1000074,2000000000000000074,2025-08-25T10:43:52
RELIANCE,INE002A01018,2025-08-25,NSE,EQ,EQ,sell,false,21,1458.27,1000076,2000000000000000076,2025-08-25T12:06:52
ICICIBANK,INE090A01021,2025-08-26,NSE,EQ,EQ,buy,false,15,1417.1,1000082,2000000000000000082,2025-08-26T10:54:28
RELIANCE,INE002A01018,2025-08-26,NSE,EQ,EQ,buy,false,20,1402.2,1000084,2000000000000000084,2025-08-26T11:19:39
HDFC,INE040A01034,2025-08-26,NSE,EQ,EQ,sell,false,13,905.66,1000078,2000000000000000078,2025-08-26T14:35:52
ICICIBANK,INE090A01021,2025-08-26,NSE,EQ,EQ,sell,false,15,1475.93,1000083,2000000000000000083,2025-08-26T14:44:28
RELIANCE,INE002A01018,2025-08-26,NSE,EQ,EQ,sell,false,20,1445.25,1000072,2000000000000000072,2025-08-26T15:14:52
ICICIBANK,INE090A01021,2025-08-28,NSE,EQ,EQ,buy,false,26,1408.4,1000085,2000000000000000085,2025-08-28T14:21:41
ICICIBANK,INE090A01021,2025-08-29,NSE,EQ,EQ,buy,false,17,1401.1,1000087,2000000000000000087,2025-08-29T10:01:00
HDFC,INE040A01034,2025-08-29,NSE,EQ,EQ,buy,false,13,960.9,1000086,2000000000000000086,2025-08-29T14:01:01
ICICIBANK,INE090A01021,2025-08-29,NSE,EQ,EQ,sell,false,17,1426.14,1000088,2000000000000000088,2025-08-29T15:44:00
